# real cities; fictional ones go in place-fictional.txt
@format ~|N|NS
Adelaide|Adelaidean|Adelaideans
Albuquerque|Burqueño|Burqueños
Alexandria|Alexandrine|Alexandrines
Amsterdam|Amsterdammer|Amsterdammers
Ankara
Athens|Athenian|Athenians
Auckland|Aucklander|Aucklanders
Baghdad|Baghdadi|Baghdadis
Bangalore|Bangalorean|Bangaloreans
Bangkok|Bangkokian|Bangkokians
Barcelona|Barcelonian|Barcelonians
Beijing|Beijinger|Beijingers
Beirut|Beiruti|Beirutis
Berlin|Berliner|Berliners
Boston|Bostonian|Bostonians
Brussels|Bruxellois|Bruxelloises
Budapest|Budapester|Budapesters
Buenos_Aires|Porteño|Porteños
Cairo|Cairene|Cairenes
Cape_Town|Capetonian|Capetonians
Cardiff|Cardiffian|Cardiffians
Casablanca
Chicago|Chicagoan|Chicagoans
Copenhagen|Copenhagener|Copenhageners
Dallas|Dallasite|Dallasites
Dubai|Dubaite|Dubaites
Dublin|Dubliner|Dubliners
Edinburgh|Edinburger|Edinburgers
Florence|Florentine|Florentines
Frankfurt|Frankfurter|Frankfurters
Hanoi|Hanoian|Hanoians
Havana
Helsinki|Helsinkian|Helsinkians
Ho_Chi_Min_City|Saigoner|Saigoners
Honolulu|Honolulan|Honolulans
Houston|Houstonian|Houstonians
Istanbul|Istanbulite|Istanbulites
Jakarta
Jerusalem|Jerusalemite|Jerusalemites
Johannesburg|Johannesburger|Johannesburgers
Karachi|Karachiite|Karachiites
Kathmandu|Kathmanduite|Kathmanduites
Kiev|Kievan|Kievans
Kuala Lumpur|Lumpurite|Lumpurites
Kyoto|Kyotoite|Kyotoites
Lagos|Lagosian|Lagosians
Las Vegas|Vegan|Vegans
Lima|Limeño|Limeños
Lisbon|Lisboeta|Lisboetas
London|Londoner|Londoners
Los_Angeles|Angeleno|Angelenos
Madrid|Madrileño|Madrileños
Manila|Manileño|Manileños
Melbourne|Melburnian|Melburnians
Mexico_City|Capitalino|Capitalinos
Miami|Miamian|Miamians
Milan|Milanite|Milanites
Minsk|Minskite|Minskites
Monaco|Monegasque|Monegasque
Monte Carlo|Carloan|Carloans
Montreal|Montrealer|Montrealers
Moscow|Muscovite|Muscovites
Mumbai|Mumbaikar|Mumbaikars
Nairobi|Nairobian|Nairobians
New Delhi|Delhian|Delhians
New Orleans|Orleanian|Orleanians
New York|Yorker|Yorkers
Osaka
Oslo|Oslovian|Oslovians
Paris|Parisian|Parisians
Pittsburgh|Pittsburgher|Pittsburghers
Prague|Praguer|Praguers
Rio_de_Janeiro|Carioca|Cariocas
Rome|Roman|Romans
Saint Petersburg|Petersburgian|Petersburgians
San Francisco|Franciscan|Franciscans
Santiago|Santiagan|Santiagans
Sao_Paolo|Paulistano|Paulistanos
Seattle|Seattleite|Seattleites
Seoul|Seoulite|Seoulites
Shanghai|Shanghaine|Shanghaines
Singapore|Singaporean|Singaporeans
Stockholm|Stockholmer|Stockholmers
Sydney|Sydneysider|Sydneysiders
Tehran|Tehrani|Tehranis
Tel Aviv|Avivian|Avivians
Tokyo|Tokyoite|Tokyoites
Toronto|Torontonian|Torontonians
Vatican_City|Vaticanite|Vaticanites
Venice|Venetian|Venetians
Wagga Wagga
Warsaw|Varsovian|Varsovians
Washington_D.C.|Washingtonian|Washingtonians
York|Yorker|Yorkers
Zagreb|Zagreber|Zagrebers
Zurich|Zuricher|Zurichers
